20260904 133200;29565.5;29611.25;29553.75;29607.75;15682
20260904 133300;29608;29626.5;29590;29623;12636
20260904 133400;29622.25;29625;29598.5;29614.5;9884
20260904 133500;29614.75;29635;29612.75;29634;8240
20260904 133600;29634;29637;29618;29633.25;8657
20260904 133700;29633.75;29645.25;29611;29617;10813
20260904 133800;29617.25;29642.75;29615.5;29638.25;8804
20260904 133900;29638;29640;29623;29634.5;5013
20260904 134000;29635;29635;29612.25;29628.25;6687
20260904 134100;29628.5;29641.5;29613;29619.5;7787
20260904 134200;29620;29629.25;29602.25;29614;9561
20260904 134300;29614.5;29629.5;29607;29614.25;6463
20260904 134400;29614.25;29643;29612.25;29642.75;5802
20260904 134500;29643;29645;29596.75;29616.5;12078
20260904 134600;29615.75;29619.25;29577.5;29593;11034
20260904 134700;29593.25;29623;29589;29622;7682
20260904 134800;29622;29633;29615.25;29628;6537
20260904 134900;29628.25;29650;29626.5;29633.25;9202
20260904 135000;29633;29639;29624.25;29634;5476
20260904 135100;29634.5;29644;29623.25;29643;4679
20260904 135200;29642.75;29644;29616.5;29625.75;5648
20260904 135300;29625.75;29634.5;29609.25;29634;6352
20260904 135400;29634.25;29656.25;29627.5;29650.5;6936
20260904 135500;29651;29665;29649.5;29659.75;8696
20260904 135600;29660.25;29676.25;29651.75;29675.75;6969
20260904 135700;29675.75;29685.75;29673.5;29678.25;8301
20260904 135800;29678;29687.25;29677.5;29685.5;4844
20260904 135900;29685.5;29692;29680.75;29688.5;4751
20260904 140000;29688;29691.25;29675;29691.25;5207
20260904 140100;29691;29691.25;29674.25;29682;6461
20260904 140200;29681.75;29682.75;29654;29658.5;8650
20260904 140300;29658.25;29669.75;29655.75;29669;5127
20260904 140400;29669.25;29678;29657.25;29674.25;4847
20260904 140500;29673.5;29674;29661.5;29667.75;3343
20260904 140600;29668;29675.75;29661;29662.75;3615
20260904 140700;29662.25;29674.5;29655.25;29674;3885
20260904 140800;29674;29674.5;29647.5;29651.75;5374
20260904 140900;29651;29657.75;29645.25;29653.75;5036
20260904 141000;29653.25;29658.75;29641;29644.25;6026
20260904 141100;29644.75;29654.5;29629;29630.5;8326
20260904 141200;29630.5;29638;29623.75;29626.5;6503
20260904 141300;29626.5;29626.5;29594;29606.25;13514
20260904 141400;29606.25;29623.5;29600;29622.5;8235
20260904 141500;29621.75;29652.5;29621;29648.25;9619
20260904 141600;29648.25;29649.75;29627;29634.5;8591
20260904 141700;29634.25;29642.5;29619.25;29620.75;6127
20260904 141800;29620.5;29631.5;29614.25;29618;6636
20260904 141900;29618;29631;29612.75;29621.75;4722
20260904 142000;29621.5;29624;29600;29601.25;5819
20260904 142100;29601.5;29606.25;29579.25;29588.5;11490
20260904 142200;29588.75;29608.5;29586.5;29606.25;6919
20260904 142300;29607;29612.5;29591;29609.5;5357
20260904 142400;29610;29610.5;29600.5;29609.25;3906
20260904 142500;29609;29609.5;29587.25;29596;5102
20260904 142600;29595.5;29602.75;29583.5;29585.5;4633
