20260911 163500;29271.75;29313.25;29270.25;29303.5;5375
20260911 164000;29303.25;29308;29290.5;29292.75;3446
20260911 164500;29292.5;29300.75;29288;29291;1719
20260911 165000;29291.75;29309.25;29286.75;29304.25;3408
20260911 165500;29303.75;29321;29300;29311;4224
20260911 170000;29309.75;29325;29307.5;29323.75;3005
20260911 170500;29324;29333.75;29313.5;29316.75;4783
20260911 171000;29316.5;29321.75;29300.75;29301.5;2657
20260911 171500;29301.5;29306.75;29292.75;29293.25;2293
20260911 172000;29293.25;29309.25;29289.5;29306.25;2235
20260911 172500;29306.25;29315;29300.5;29301.5;2005
20260911 173000;29302;29307;29298.75;29304;1127
20260911 173500;29304;29311.75;29301.5;29306;1308
20260911 174000;29307.25;29313.5;29305;29309.5;1168
20260911 174500;29309;29316;29305;29306.75;1255
20260911 175000;29307.25;29314.5;29304;29310.25;748
20260911 175500;29310.5;29313;29305.75;29309;859
20260911 180000;29309.5;29326.75;29307.5;29319.25;1850
20260911 180500;29319.75;29340;29285.25;29334.75;8483
20260911 181000;29334;29335;29322.75;29330;2245
20260911 181500;29330.25;29335;29319.75;29326;1936
20260911 182000;29326.5;29329.5;29320;29326;1425
20260911 182500;29325.75;29328;29313.5;29320.75;2021
20260911 183000;29320.75;29321.75;29308.5;29314.5;1758
20260911 183500;29314.5;29324.25;29309.5;29324.25;1553
20260911 184000;29323.75;29329;29312.5;29320.5;1383
20260911 184500;29320.5;29322;29313.25;29315.5;1300
20260911 185000;29316.25;29316.5;29305.25;29309.75;1466
20260911 185500;29310.25;29318.25;29307;29309.25;1228
20260911 190000;29310.25;29316;29307.75;29310.5;1217
20260911 190500;29310.75;29315.25;29303.75;29304;2078
20260911 191000;29303.75;29305.25;29289.75;29294.75;2817
20260911 191500;29294.25;29301;29289.75;29294;1901
20260911 192000;29294.75;29308.25;29290.25;29307.5;2499
20260911 192500;29307;29310;29294.75;29307.5;2186
20260911 193000;29307.5;29325;29307.25;29312.5;3844
20260911 193500;29313.25;29322;29300.25;29302.5;2852
20260911 194000;29303.25;29314;29296.75;29312;2555
20260911 194500;29311.75;29332.25;29310;29330;3090
20260911 195000;29330.75;29338;29319;29335.5;2918
20260911 195500;29335.5;29337.25;29325.5;29326.5;2024
20260911 200000;29326.5;29334.25;29321.25;29323;1656
20260911 200500;29322.75;29326.25;29306.75;29311.5;3311
20260911 201000;29311.5;29316.25;29304.5;29314.25;3246
20260911 201500;29315;29336.5;29307;29324;5582
20260911 202000;29324.25;29347.75;29318.25;29337.75;3983
20260911 202500;29338.25;29344.75;29325.75;29327.5;3678
20260911 203000;29327.75;29396;29325.5;29381.25;10540
20260911 203500;29387;29397.5;29204.5;29337.75;38890
20260911 204000;29337.5;29376.25;29322;29364.25;26224
20260911 204500;29364.25;29378.25;29342;29356.75;14262
20260911 205000;29357.25;29402.75;29342.75;29394.25;16148
20260911 205500;29394;29446.75;29393.75;29437.5;18616
20260911 210000;29437;29476.25;29432.5;29468.75;18449
20260911 210500;29468.5;29500.75;29467;29469.25;25486
20260911 211000;29469;29484.25;29446.5;29452.25;15546
20260911 211500;29452;29457.75;29434.5;29443.75;12236
20260911 212000;29443.25;29448.5;29427.25;29430.5;10840
20260911 212500;29430.25;29440.5;29424;29430.25;6902
20260911 213000;29430;29452.5;29415.25;29417.75;19086
20260911 213500;29417.75;29426.25;29347.25;29419.25;75360
20260911 214000;29419.5;29431.75;29373.25;29401;58262
20260911 214500;29400.5;29440.25;29354;29434;62717
20260911 215000;29434;29472.5;29399;29435.5;58201
20260911 215500;29434.75;29446;29383.25;29426.75;42054
